,SDSME names,New proposed names,Parameters,Function,Notes
0043,CloseMulti,ShowMulti,-,Shows the prepared multi in screen,The game will hide it when the player has selected an option.
0044,Multi3,ListStandardText,u8: X; u8: Y; u8: Cursor; u8: Cancel; Var: Selection,"Prepares a multiple selection list at X and Y screen position, with Cursor default selected option and possibility of cancelling depending on Cancel, with text bank #321, returns selected slot ID in Selection","If Cancel is 1, the user can select the last option by pressing B button. The difference between a Multi and a List seems to be that lists are scrollable."
0045,,ListLocalText,u8: X; u8: Y; u8: Cursor; u8: Cancel; Var: Selection,"Prepares a multiple selection list at X and Y screen position, with Cursor default selected option and possibility of cancelling depending on Cancel, with local texts, returns selected slot ID in Selection","If Cancel is 1, the user can select the last option by pressing B button. The difference between a Multi and a List seems to be that lists are scrollable."
0046,,AddListOption,Flex: Option MSG; Flex: Highlight MSG; Flex: List Slot,"Adds a new option to the list, with List Slot ID and showing text line Option MSG. It also displays text line Highlight MSG when that option is highlighted.","If Highlight MSG is set to 255 [0xFF], no message will be displayed when the option is highlighted.
This command relies on an open message box in order to display the highlight messages. 

Trying to highlight an option with Highlight MSG different than 255 [0xFF] will result in a crash if no message box is already being displayed."
0047,,ShowList,-,Shows the prepared list in screen,The game will hide it when the player has selected an option.
0048,MultiRow,MultiColumn,u8: Columns,Splits the multi window in Columns different columns,
0049,PlayFanfare,PlayFanfare,Flex: Sound,Plays Sound,
004A,PlayFanfare2,StopFanfare,Flex: Sound,Stops Sound,
004B,WaitFanfare,WaitFanfare,Flex: Sound,Waits Sound to finish,
004C,PlayCry,PlayCry,Flex: Pokémon; Flex: Unused,Plays a Pokémon cry,
004D,WaitCry,WaitCry,-,Waits the current cry to finish,
004E,PlaySound,PlaySound,u16: Sound,"Pauses current music, then Plays Sound",
004F,FadeDefaultMusic,WaitSound,-,"Waits for Sound to finish, then resumes music",
0050,PlayMusic,PlayMusic,u16: Music,Plays Music,
0051,StopMusic,StopMusic,u16: Unused,Stops current music,Parameter is ignored because the game identifies what music is playing.
0052,RestartMusic,PlayDefaultMusic,-,Plays map default music,
0053,,SetMusic,u16: Music,???,
0054,SwitchMusic,FadeOutMusic,u16: Volume; u16: Time,Fades out the current music to Volume in Time frames,
0055,,FadeInMusic,u16: Time,Fades in the current music to normal volume in Time frames,
0056,,,u8: ???; u8: ???,???,
0057,,,u16: ???,???,
0058,,,u8: ???,???,Seems to set a flag related to the music system.
0059,,CheckChatotCry,Var: Variable,"Checks if Chatot has custom sound, stores answer in Variable",Returns 0 or 1 to the specified Variable. Not for a specific Chatot but for all (they share a custom sound).
005A,SwitchMusic2,StartChatotCry,Var: Variable,"Starts Chatot microphone record, stores answer in Variable",Returns 0 or 1 to the specified Variable depending on successful recording.
005B,,StopChatotCry,-,Stops recording Chatot custom sound,
005C,,SaveChatotCry,-,???,Maybe saves the custom Chatot sound in the savegame.
005D,,,-,???,
005E,ApplyMovement,Movement,Flex: Event ID; u32: Relative Jump,Applies movement at Relative Jump to Event ID,"Movements must be halfword-aligned in the script file. If you're using an old tool which doesn't align them, force the alignment with a TextPlayerName 0x0 or some unnoticeable command of 3, 5, 7 or 9 bytes length."
005F,WaitMovement,WaitMovement,-,Waits for all movements to finish,
0060,LockAll,LockAll,-,Locks every event in the map,
0061,ReleaseAll,ReleaseAll,-,Releases every event in the map,
0062,Lock,Lock,u16: Event ID,Locks Event ID,
0063,Release,Release,u16: Event ID,Releases Event ID,
0064,AddPeople,AddOW,Flex: Event ID,Add Event ID overworld in the map,"It is probable that, if executing this having Event ID overworld already in the map, it gets duplicated."
0065,RemovePeople,RemoveOW,Flex: Event ID,Removes Event ID overworld from the map,
0066,LockCam,LockCamera,Flex: X; Flex: Y,Locks the camera at position X and Y,Seems to place a invisible NPC at coords X and Y. It appears that both must be the current player position.
0067,,ReleaseCamera,-,Releases the camera,
0068,FacePlayer,FacePlayer,-,Makes the invoking event look at the player,In fact it simply takes the current player direction and makes the NPC look at the opposite direction.
0069,CheckSpritePosition,GetPlayerPosition,Var: X; Var: Y,Saves the current player position in X and Y,
006A,,GetOWPosition,Flex: Event ID; Var: X; Var: Y,Saves the current Event ID position in X and Y,If Event ID is deleted (via RemoveOW) it gives 0xFF for both coordinates.
006B,CheckPersonPosition,,Flex: X; Flex: Z; Flex: Y,???,Maybe teleports the player to other coords?
006C,ContinueFollow,KeepOverworld,Flex: Event ID; u8: Value,"If Value is 1, prevents Event ID from disappearing when entering a new map header",
006D,FollowHero,SetOWMovement,Flex: Event ID; u16: Movement,Changes the Event ID's movement number to Movement,
006E,GiveMoney,GiveMoney,u32: Money,Adds Money to the player's money,
006F,TakeMoney,TakeMoney,u32: Money,Subtracts Money from the player's money,
0070,CheckMoney,CompareMoney,Var: Variable; u32: Money,Stores 1 into Variable if the player has Money or more money. Stores 0 otherwise.,
0071,ShowMoney,ShowMoney,Flex: X; Flex: Y,Shows the money box at X and Y coordinates of the screen,Each X and Y unit implies 8 pixels. Values of 0 or higher than the screen may glitch the screen.
0072,HideMoney,HideMoney,-,Hides the money box,
0073,,UpdateMoney,-,Updates the current money in the money box,
0074,,ShowSpecialCurrency,u8: Currency; Flex: X Coord; Flex: Y Coord,Shows the Currency box at X and Y coordinates of the screen.,"Currency:

0 = Coins
1 = Battle Points
2 = Athlete Points"
0075,,HideSpecialCurrency,-,Hides the currently displayed special currency box.,
0076,,UpdateSpecialCurrency,u16: Currency,Updates the current Currency in the currency box. ,Currency types are the same as above [0074].
0077,,CheckCoins,Var: Variable,Stores the current casino coin amount in Variable,
0078,,GiveCoins,Flex: Coins,Adds Coins to the player's casino coins,"Important: This commands needs overlay 22 to be loaded! 
Check OverlayManager script command."
0079,,TakeCoins,Flex: Coins,Subtracts Coins from the player's casino coins,
007A,,GiveAthletePoints,Flex: Amount,Adds the given Amount to the player's Athlete Points,
007B,,TakeAthletePoints,Flex: Amount,Subtracts the given Amount from the player's Athlete Points,
007C,,CompareAthletePoints,Var: Result; Flex: Amount,Stores 1 into Variable if the player has the given Amount of Athlete Points or more. Stores 0 otherwise.,
007D,,GiveItem,Flex: Item; Flex: Amount; Var: Variable,"Adds Amount of Item item, stores 1 in Variable if the player had less than 1000 - Amount (100 - Amount if TM/HM), stores 0 otherwise","Both Item and Amount are flexible, but if you use CommonScript 0x7F1 after that (as it is meant to be) you must place these two values in 0x8004 and 0x8005 in order to make the script work properly."
007E,TakeItem,TakeItem,Flex: Item; Flex: Amount; Var: Variable,"Subs Amount of Item item, stores 1 in Variable if the player had at least Amount items in the bag, stores 0 otherwise",
007F,GiveItem,CheckItemSpace,Flex: Item; Flex: Amount; Var: Variable,"Stores 1 in Variable if the player has less than 1000 - Amount of Item items (100 - Amount if TM/HM), stores 0 otherwise",
0080,CheckItem,CheckItem,Flex: Item; Flex: Amount; Var: Variable,"Stores 1 in Variable if the player has at least Amount of Item items in the bag, stores 0 otherwise","Even if the Amount to check for is 0, the check will return 0 if you don't have the item at all."
0081,,CheckItemIsMachine,Flex: Item; Var: Variable,"Stores 1 in Variable if Item is TM or HM, stores 0 otherwise",
0082,,GetItemPocket,Flex: Item; Var: Variable,Stores the bag pocket of Item in Variable,
0083,,SetStarter,Flex: Pokémon,Stores Pokémon as the starting Pokémon in the game save data,
0084,DoubleMessage,GenderMessage,u8: Male Text; u8: Female Text,Displays Male Text or Female Text message depending on player's gender,
0085,,,,,
0086,,,,,
0087,,,,,
0088,,,,,
0089,GiveStoredPokemon,GivePokemon,Flex: Pokémon; Flex: Level; Flex: Item; Flex: Form; Flex: Ability; Var: Variable,"Gives Pokémon at level Level, with the given Item, Form and Ability. Store 1 in Variable if succeed and 0 otherwise.",
008A,,GivePokemonEgg,Flex: Pokémon; Flex: Location,Gives a Pokémon egg received from Location text slot at text bank #281,
008B,,ReplaceMove,Flex: Party Slot; Flex: Move Slot; u16: Move ID,Overwrites Move Slot of the Pokémon at the specified Party Slot with Move ID.,
008C,,CheckPokemonHasMove,Var: Variable; Flex: Move ID; Flex: Party Slot,"Checks if a Pokémon at the specified Party Slot knows a move with given Move ID.
Stores 1 into Variable if yes, 0 otherwise.","Example: Headbutt tutor in Ilex Forest (Script File 92, Script 3)"
008D,,CheckMoveInParty,Var: Variable; Flex: Move ID,"Checks if any Pokémon in the party knows Move ID move, stores in Variable the position of the first Pokémon that knows it or stores 6 if no Pokémon in the party knows the move",
008E,,,Flex: ???; Var: ???,???,
008F,,ChooseRivalName,Var: Variable,"Opens the keyboard for naming the rival, stores 1 in Variable if user cancels the proccess",
0090,,GetCounterpartSprite,Var: Variable,"Stores 97 (Lyra sprite ID) into the Variable if you're playing as Ethan;
Stores 0 (Ethan sprite ID) into the Variable if you're playing as Lyra.",Remember that Overworld Entities with sprite IDs 101 to 116 refer to the value of vars 0x4020-0x402F for the sprite to display.
0091,,UpgradePokegear,u8: Module,"Adds the worldmap to the Pokegear if Module is 1, adds the radio if Module is 2",
0092,RecordPokegearNumber,RecordPokegearNumber,Flex: ???,,
0093,,,Flex: ???; Var: ???,???,
0094,,,,,
0095,,,,,
0096,CallEnd,ReturnScreen,-,Restores the normal overworld screen,
0097,,,,,
0098,Wifi,,,,
0099,,,,,
009A,OpenPokemonDress,,,,
009B,,,,,
009C,,,,,
009D,OpenPokegearMap,WorldMapScreen,-,Opens the worldmap screen,
009E,,,,,
009F,,,,,
00A0,,,,,
00A1,CallEnd2,,,,
00A2,,,,,
00A3,EndGame,EndGameScreen,-,Opens the Hall of Fame and game ending screens,
00A4,,,,,
00A5,,,,,
00A6,WFC,,,,
00A7,,StarterSelectionScreen,-,Opens the starter Pokémon selection screen,
00A8,,,Flex: ???,,
00A9,,,Flex: ???; Var: Variable,,
00AA,,,Var: Variable,,
00AB,,,Flex: ???; Var: Variable,,
00AC,,WritePlayerName,Var: Variable,"Opens the keyboard for naming the player, stores 1 in Variable if user cancels the proccess",
00AD,GivePokemonNickname,WritePokemonName,Flex: Party Position; Var: Variable,"Opens the keyboard for naming a Pokémon in Party Position, stores 1 in Variable if user cancels the proccess",
00AE,FadeScreen,FadeScreen,u16: Frame Count; u16: Duration; u16: Fade Style; u16: Color,"Fades screen to chosen 15-bit Color, using the chosen Fade Style. The transition will render Frame Count images, of Duration length each.","Type 0 for fade in, Type 1 for fade out. Color has 15-bit format. Transition is the number of color changes that the game does in the fading."
00AF,ResetScreen,WaitFadeScreen,-,Waits for the screen fade to end,
00B0,Warp,Warp,Flex: Map; u16: Door; Flex: X; Flex: Y; Flex: Dir,"Warps to X and Y position of Map header with initial Dir direction, using Door warp",When Door is 0 it doesn't use any door animation.
00B1,HallFameData,RockClimbAnimation,Flex: Party Position,Uses rock climb with the Pokémon at Party Position position,
00B2,,SurfAnimation,Flex: Party Position,Uses surf with the Pokémon at Party Position position,
00B3,WFC1,WaterfallAnimation,Flex: Party Position,Uses waterfall with the Pokémon at Party Position position,
00B4,,FlyAnimation,u16: Map; Flex: X; Flex: Y,"Flies to Map header map, to coordinates X and Y",
00B5,,FlashAnimation,-,Sets weather to 12 (darkness after flash) and then updates the weather graphics,
00B6,,WhirlpoolAnimation,Flex: Party Position,Uses whirlpool with the Pokémon at Party Position position,
00B7,,CutAnimation,Flex: Party Position,Uses cut with the Pokémon at Party Position position,
00B8,,CheckBike,Var: Variable,"Stores 1 in Variable if player is riding the bike, stores 0 otherwise",
00B9,,RideBike,u8: Action,"Changes player form from normal to riding the bike if Action is 1, otherwise it sets the normal form to the player",
00BA,,CyclingRoad,u8: Action,"If Action is 1, the game sets the cycling road flag and moves the player down. Otherwise the flag is deactivated.",
00BB,,CheckPlayerForm,Var: Variable,Stores in Variable the current player form,"Values 0 is for normal form, value 1 for riding the bike and value 2 for surfing."
00BC,,SetPlayerForm,u16: Form,Activates the Form bit in the internal player form data,The purpose of the different bits still needs to be researched.
00BD,,UpdatePlayerForm,-,Updates changes in the internal player form data in the screen,
00BE,SetVariableHero,TextPlayerName,u8: String Buffer,Stores player's name in String Buffer,
00BF,SetVariableRival,TextRivalName,u8: String Buffer,Stores rival's name in String Buffer,
00C0,SetVariableAlter,TextCounterpart,u8: String Buffer,Stores counterpart's name in String Buffer,
00C1,SetVariablePokemon,TextPartyPokemon,u8: String Buffer; Flex: Party Position,Stores the name of the Pokémon in Party Position in String Buffer,
00C2,SetVariableItem,TextItem,u8: String Buffer; Flex: Item,Stores Item's name in String Buffer,
00C3,,TextPocket,u8: String Buffer; Flex: Pocket,Stores Pocket's name in String Buffer,
00C4,SetVariableAttackItem,TextMachineMove,u8: String Buffer; Flex: Item,Stores the name of the move contained in Item TM/HM in String Buffer,
00C5,SetVariableAttack,TextMove,u8: String Buffer; Flex: Move,Stores battle Move's name in String Buffer,
00C6,SetVariableNumber,TextNumber,u8: String Buffer; Flex: Number,Stores a Number in String Buffer,
00C7,SetVariablePokemonNickname,TextPokeNickname,u8: String Buffer; Flex: Party Position,Stores the nickname of the Pokémon in Party Position in String Buffer,
00C8,SetVariableObject,,,,
00C9,,TextPlayerTrainerType,u8: String Buffer,Stores player's Union Room trainer type in String Buffer,
00CA,SetVariablePokemonStored,TextPokemon,u8: String Buffer; Flex: Pokémon; u16: Unused; u8: Unused,Stores Pokémon's name in String Buffer,The two Unused parameters are for defining male/female nouns and singular/plural nouns respectively. However both don't apply in this command.
00CB,,TextStarterPokemon,u8: String Buffer,Stores the name of the player' starter Pokémon in String Buffer,
00CC,,TextRivalStarter,u8: String Buffer,Stores the name of the rival' starter Pokémon in String Buffer,
00CD,CheckStarter,TextCounterpartStarter,u8: String Buffer,Stores the name of the counterpart' starter Pokémon in String Buffer,
00CE,,CheckStarter,Var: Variable,Stores the starter Pokémon ID in Variable,
00CF,,DummyTextGoods,u8: String Buffer; Flex: Unused,Loads an empty string in String Buffer,
00D0,,DummyTextTrap,u8: Unused; Flex: Unused,Nothing,
00D1,,DummyTextTreasure,u8: Unused; Flex: Unused,Nothing,
00D2,,TextMapName,u8: String Buffer; Flex: Map,Stores Map header name in String Buffer,
00D3,,GetSwarmInfo,Var: Map; Var: Pokémon,"Selects a zone depending on a random seed, then stores the zone ID in Map and the corresponding swarm Pokémon of that zone in Pokémon",Predicted. Needs to be checked.
00D4,,TrainerID,Var: Variable,Stores the trainer ID number in Variable depending on the script ID,This means you shouldn't use this command in a normal script.
00D5,TrainerBattle,TrainerBattle,Flex: Trainer 1; Flex: Trainer 2; u8: ???; u8: ???,"Starts a battle against Trainer 1 and, if Trainer 2 is neither 0 nor the same as Trainer 1, a double battle against both",
00D6,,TrainerMessage,Flex: Trainer ID; Flex: Type,Displays the text of Trainer ID trainer at condition Type,The possible Type values are the following (expand the note for see them)
00D7,,TrainerMsgCheck,Var: Noticing; Var: Defeat; Var: One Pokémon,"If the script ID corresponds to a single battle trainer, stores 0 in Noticing, 2 in Defeat and 0 in One Pokémon. If it corresponds to a double battle, stores 3, 5 and 6 or 7, 9 and 10 depending on whether it's the first or the second trainer",This means you shouldn't use this command in a normal script.
00D8,,TrainerRematchMsgCheck,Var: Noticing; Var: Defeat; Var: One Pokémon,"If the script ID corresponds to a single battle trainer, stores 17 in Noticing, 0 in Defeat and 0 in One Pokémon. If it corresponds to a double battle, stores 18, 0 and 6 or 19, 0 and 10 depending on whether it's the first or the second trainer",This means you shouldn't use this command in a normal script.
00D9,,TrainerTypeCheck,Var: Variable,"Stores 0 in Variable if the script ID corresponds to a single battle, stores 1 if it corresponds to a double battle",This means you shouldn't use this command in a normal script.
00DA,,TrainerMusic,Flex: Trainer,Retrieves the Trainer Class ID of the passed Trainer and plays its eye contact music.,It checks if player is in Johto or Kanto for that.
00DB,LostGoPokecenter,LostBattle,-,Return to Pokémon Center or player's house after being defeated,
00DC,CheckLost,CheckBattleIsLost,Var: Variable,"Stores 0 in Variable if player has been defeated in battle, stores 1 otherwise",
00DD,,CheckDefeatedPokemon,Var: Variable; u8: ???,"Stores 0 in Variable if player defeated or caught the wild Pokemon, stores 1 otherwise",
00DE,StoreStarter,Check2vs2,Var: Variable,"Stores 1 in Variable if player has at least 2 not fainted Pokémon, stores 0 otherwise",
00DF,,DummyTrainerBattle,-,Starts a battle against trainer with ID 1,
00E0,,DummyTrainerFlag,-,Sets the trainer flag with the same ID as the invoking event,
00E1,,DummyTrainerFlagJump,u32: Relative Jump,"Jumps to a function, Relative Jump bytes forward or backward, if trainer flag with the invoking event ID is set",
00E2,,,,,
00E3,,,,,
00E4,,,,,
00E5,,,,,
00E6,,,,,
00E7,,,,,
00E8,,,,,
00E9,,,,,
00EA,,,,,
00EB,,,,,
00EC,,,,,
00ED,,,,,
00EE,,CheckPokerus,Var: Variable,Stores 1 in Variable if one or more Pokémon in the party are infected with the Pokérus,
00EF,ChecPokemonGender,GetPokemonGender,Flex: Party Position; Var: Variable,"Stores 0 in Variable if Pokémon at Party Position is male, 1 if is female and 2 if gender is unknown",Unknown gender value is supposed and should be checked.
00F0,WarpLift,,,,
00F1,CheckFloor,GetElevatorFloor,Var: Variable,Stores in Variable the current floor in a elevator,
00F2,,ElevatorBox,u8: X; u8: Y; Var: Variable; Flex: Floor,Shows the current floor number in a box at X and Y coordinates in the screen,Each X and Y unit implies 8 pixels. Values of 0 or higher than the screen may glitch the screen. Variable and Floor parameters have not been tested.
00F3,WirelessBattleWait,CountJohtoDexSeen,Var: Variable,Stores in Variable the total seen Pokemon in the Johto Pokédex,
00F4,,CountJohtoDexObtained,Var: Variable,Stores in Variable the total obtained Pokemon in the Johto Pokédex,
00F5,,CountNationalDexSeen,Var: Variable,Stores in Variable the total seen Pokemon in the National Pokédex,
00F6,,CountNationalDexObtained,Var: Variable,Stores in Variable the total obtained Pokemon in the National Pokédex,
00F7,PokemonContest,DummyNationalDexCheck,-,Nothing,
00F8,,GetDexProgressMsg,u8: Mode; Var: Message; Var: Unknown,"Checks the number of seen Pokémon in the Johto Pokédex (if Mode is 0) or the number of obtained Pokémon in the National Pokédex (otherwise) and stores the corresponding Professor message in Message, also storing 0x4AA in Unknown",
00F9,,WildBattle,Flex: Pokémon; Flex: Level,Starts a wild battle against a Pokémon of level Level,
00FA,,WildBattleNoButtons,Flex: Pokémon; Flex: Level,Starts a first wild battle against a Pokémon of level Level,"The difference between this and other similar commands is that Bag, Run and Pokémon buttons are disabled."
00FB,,CatchTutorial,-,Starts the catch tutorial battle,
00FC,,,,,
00FD,,CheckSaveGame,Var: Variable,"Stores 0 in Variable if a different savegame exists and it's not possible to save, stores 1 if no previous savegame exists, stores 2 if game has to save a lot of data and stores 3 if game can perform a quick save",
00FE,,,,,
00FF,,,,,
0100,,,,,
0101,,,,,
0102,,,,,
0103,,,,,
0104,,,,,
0105,,,,,
0106,,,,,
0107,,,,,
0108,,,,,
0109,,,,,
010A,,,,,
010B,,,,,
010C,,,,,
010D,,,,,
010E,,,,,
010F,,,,,
0110,,,,,
0111,,,,,
0112,,,,,
0113,,MartScreen,Flex: Unused,Opens the common mart shopping screen,
0114,,SpMartScreen,Flex: Mart ID,Opens the Mart ID mart shopping screen,"Used in the Departament Store for a shop with specific fixed items. At 0x48188 of arm9.bin (IPKS) is the pointer to the shops table, each entry of the table being a pointer to an item table."
0115,,GoodsMartScreen,Flex: Mart ID,Opens the Mart ID goods mart shopping screen,
0116,,SealMartScreen,Flex: Mart ID,Opens the Mart ID seal mart shopping screen,
0117,,DummyLostBattle,-,Return to Pokémon Center or player's house after being defeated,Same code as LostBattle command.
0118,,SetLastWarp,Flex: Warp ID,Sets map's Warp ID warp as the last used warp,Supposed. This would affect actions like Escape Rope use.
0119,CheckGender,CheckPlayerGender,Var: Variable,"Stores 0 in Variable if player is male, stores 1 if female",
011A,HealPokemon,HealPokemon,-,Heals every Pokémon in the player's party,That does not include the black fade nor the healing sound.
011B,,,,,
011C,,,,,
011D,,,,,
011E,,,,,
011F,,,,,
0120,,,,,
0121,,,,,
0122,,CheckPokedex,Var: Variable,"Stores 1 in Variable if player has the Pokédex, stores 0 otherwise",
0123,ActivatePokedex,GivePokedex,-,Gives the Pokédex to the player,
0124,,CheckShoes,Var: Variable,"Stores 1 in Variable if player has the running shoes, stores 0 otherwise",
0125,GiveRunningShoes,GiveShoes,-,Gives the running shoes to the player,
0126,CheckBadge,CheckBadge,Flex: Badge ID; Var: Variable,"Checks if player has Badge ID badge, stores result in Variable",
0127,EnableBadge,GiveBadge,Flex: Badge ID,Gives the player Badge ID badge,
0128,DisableBadge,CountBadges,Var: Variable,Stores in Variable the number of badges obtained,
0129,,DummyCheckBag,Var: Variable,"Stores 1 in Variable if flag 0x960 is set, stores 0 otherwise",
012A,,DummyGiveBag,-,Sets flag 0x960,
